,Stock,RS_Rating,50 Day MA,150 Day Ma,200 Day MA,52 Week Low,52 week High,Sector,Industry,Daily_change
228,PANW,96,532.03,514.0,480.94,311.72,624.45,Electronic Technology,Computer Communications,0.04
254,SBLK,96,26.37,23.28,22.57,13.88,32.0,Transportation,Marine Shipping,-0.54
31,ASIX,96,43.69,43.45,40.41,26.41,57.1,Process Industries,Chemicals: Specialty,1.6
23,AOSL,96,50.7,43.75,39.67,23.66,67.2,Electronic Technology,Semiconductors,-0.85
114,FANG,96,130.8,111.26,104.27,65.93,147.99,Energy Minerals,Oil & Gas Production,2.32
111,ESTE,96,13.04,11.17,10.91,6.44,15.27,Energy Minerals,Integrated Oil,7.63
213,NUE,96,121.67,113.47,110.36,74.45,157.69,Non-Energy Minerals,Steel,2.67
155,IMO,96,43.12,35.96,34.0,23.89,47.72,Energy Minerals,Integrated Oil,4.36
212,NTR,96,83.13,72.68,69.39,52.28,108.84,Process Industries,Chemicals: Agricultural,1.49
180,MCB,96,102.63,95.34,88.14,50.0,115.78,Finance,Major Banks,2.36
17,AMPH,96,28.39,22.99,22.3,16.91,36.97,Health Technology,Pharmaceuticals: Major,1.87
173,LNG,96,122.13,107.54,101.99,70.51,149.42,Industrial Services,Oil & Gas Pipelines,5.46
167,KRP,95,15.37,14.01,13.31,9.77,17.37,Miscellaneous,Investment Trusts/Mutual Funds,3.59
68,CIVI,95,53.18,50.57,48.13,29.62,64.85,Energy Minerals,Integrated Oil,9.79
269,STLD,95,66.83,64.15,63.64,47.9,89.69,Non-Energy Minerals,Steel,0.94
14,ALLG,95,10.11,9.98,9.93,5.66,23.91,Finance,Financial Conglomerates,21.64
100,DAC,95,92.72,80.41,77.78,46.65,107.47,Transportation,Marine Shipping,-0.04
179,MATX,95,100.85,89.65,83.8,59.65,123.42,Transportation,Marine Shipping,1.1
284,TRQ,95,20.93,16.62,16.42,9.75,30.66,Non-Energy Minerals,Other Metals/Minerals,0.03
134,HAL,95,32.88,26.16,24.92,17.82,39.38,Industrial Services,Oilfield Services/Equipment,3.24
272,SWCH,95,26.26,26.06,24.94,15.34,30.27,Technology Services,Information Technology Services,-2.28
148,HRMY,95,40.22,39.33,36.86,25.09,51.89,Health Technology,Pharmaceuticals: Major,1.87
158,ITCI,95,52.46,44.17,42.41,28.4,62.45,Health Technology,Pharmaceuticals: Major,2.34
80,CNR,95,19.94,17.17,17.13,12.59,24.4,Producer Manufacturing,Building Products,-0.04
288,TSEM,94,42.05,36.56,34.4,24.81,49.09,Electronic Technology,Semiconductors,0.21
318,WTTR,94,7.91,6.64,6.44,4.37,10.43,Industrial Services,Oilfield Services/Equipment,5.3
107,EOG,94,112.2,92.34,87.48,62.81,124.89,Energy Minerals,Oil & Gas Production,2.89
189,MNRL,94,22.82,21.29,20.69,14.32,28.2,Miscellaneous,Investment Trusts/Mutual Funds,2.85
112,EVA,94,72.2,65.75,62.08,46.93,81.68,Process Industries,Industrial Specialties,1.99
75,CMRE,94,14.24,13.71,13.08,9.18,18.01,Transportation,Marine Shipping,-0.47
265,SPTN,94,28.08,24.74,23.29,18.08,35.66,Distribution Services,Food Distributors,-1.91
19,ANAT,94,188.57,188.31,181.33,105.52,195.89,Finance,Multi-Line Insurance,0.04
27,AQUA,94,42.19,42.15,40.09,25.03,49.38,Industrial Services,Environmental Services,0.73
52,CARG,94,36.86,34.78,32.91,23.15,50.03,Technology Services,Internet Software/Services,-3.34
21,ANET,94,124.1,116.26,110.3,73.16,148.57,Electronic Technology,Computer Communications,-0.91
109,EQT,94,23.81,21.61,21.15,15.71,34.47,Energy Minerals,Oil & Gas Production,11.68
311,WHD,94,50.17,42.78,41.27,27.26,64.18,Industrial Services,Oilfield Services/Equipment,4.42
159,IVPAF,94,8.98,8.09,7.87,4.99,10.31,Non-Energy Minerals,Other Metals/Minerals,-1.47
42,BKR,94,30.48,26.3,25.11,18.75,39.78,Industrial Services,Oilfield Services/Equipment,1.12
156,INVA,93,17.82,17.07,16.31,11.15,20.48,Health Technology,Pharmaceuticals: Major,-0.31
247,RMBS,93,27.21,25.81,25.16,17.95,32.81,Electronic Technology,Semiconductors,-0.37
280,THC,93,82.38,76.38,74.53,49.37,91.89,Health Services,Hospital/Nursing Management,0.74
241,PXD,93,226.33,189.42,178.34,133.73,257.31,Energy Minerals,Oil & Gas Production,2.17
238,PSTG,93,28.34,28.21,26.02,16.79,36.44,Electronic Technology,Computer Peripherals,0.31
211,NRGV,93,11.35,10.38,10.21,8.88,18.57,Producer Manufacturing,Electrical Products,2.74
270,SU,93,29.65,24.89,23.86,17.1,34.09,Energy Minerals,Integrated Oil,3.5
26,APR,93,37.32,34.93,33.48,21.8,40.0,Health Services,Medical/Nursing Services,0.03
